time_ns,source,compute_node,route,rtt_ns,hop_count,failed_isls,status
0,12,0,12-1-0,15908863.7501924615,2,,AVAILABLE
100000000,12,0,12-1-0,15905109.3508957420,2,,AVAILABLE
200000000,12,0,12-1-0,15901359.7799454350,2,,AVAILABLE
300000000,12,0,12-1-0,15897606.9836623017,2,,AVAILABLE
400000000,12,0,12-1-0,15893855.8245105110,2,,AVAILABLE
500000000,12,0,12-1-0,15890106.1005585697,2,,AVAILABLE
600000000,12,0,12-1-0,15886353.3498292267,2,,AVAILABLE
700000000,12,0,12-1-0,15882607.7866080403,2,,AVAILABLE
800000000,12,0,12-1-0,15878857.4684644137,2,,AVAILABLE
900000000,12,0,12-1-0,15875110.3153255582,2,,AVAILABLE
1000000000,12,0,12-1-0,15871367.9906425532,2,,AVAILABLE
1100000000,12,0,12-1-0,15867626.4691676795,2,,AVAILABLE
1200000000,12,0,12-1-0,15863876.1647155005,2,,AVAILABLE
1300000000,12,0,12-1-0,15860136.2445834670,2,,AVAILABLE
1400000000,12,0,12-1-0,15856393.9326898102,2,,AVAILABLE
1500000000,12,0,12-1-0,15852653.2536031175,2,,AVAILABLE
1600000000,12,0,12-1-0,15848913.3786290251,2,,AVAILABLE
1700000000,12,0,12-1-0,15845176.6643869672,2,,AVAILABLE
1800000000,12,0,12-1-0,15841436.0310215838,2,,AVAILABLE
1900000000,12,0,12-1-0,15837704.3098262660,2,,AVAILABLE
2000000000,12,0,12-1-0,15833964.4457058180,2,,AVAILABLE
2100000000,12,0,12-1-0,15830229.4116720669,2,,AVAILABLE
2200000000,12,0,12-1-0,15826495.1781684887,2,,AVAILABLE
2300000000,12,0,12-1-0,15822767.4939208720,2,,AVAILABLE
2400000000,12,0,12-1-0,15819031.6701440644,2,,AVAILABLE
2500000000,12,0,12-1-0,15815299.8415598106,2,,AVAILABLE
2600000000,12,0,12-1-0,15811569.6502358411,2,,AVAILABLE
2700000000,12,0,12-1-0,15807841.9775480740,2,,AVAILABLE
2800000000,12,0,12-1-0,15804113.3877161685,2,,AVAILABLE
2900000000,12,0,12-1-0,15800391.3444170766,2,,AVAILABLE
3000000000,12,0,12-1-0,15796661.9979843125,2,,AVAILABLE
3100000000,12,0,12-1-0,15792935.8129165620,2,,AVAILABLE
3200000000,12,0,12-1-0,15789213.8149503842,2,,AVAILABLE
3300000000,12,0,12-1-0,15785493.2605178747,2,,AVAILABLE
3400000000,12,0,12-1-0,15781769.6714345701,2,,AVAILABLE
3500000000,12,0,12-1-0,15778046.8835595548,2,,AVAILABLE
3600000000,12,0,12-1-0,15774326.3739171289,2,,AVAILABLE
3700000000,12,0,12-1-0,15770609.2163008545,2,,AVAILABLE
3800000000,12,0,12-1-0,15766890.3097937182,2,,AVAILABLE
3900000000,12,0,12-1-0,15763171.5610829201,2,,AVAILABLE
4000000000,12,0,12-1-0,15759460.0011005141,2,,AVAILABLE
4100000000,12,0,12-1-0,15755744.3347759470,2,,AVAILABLE
4200000000,12,0,12-1-0,15752032.0175578799,2,,AVAILABLE
4300000000,12,0,12-1-0,15748317.3076721095,2,,AVAILABLE
4400000000,12,0,12-1-0,15744609.7866596170,2,,AVAILABLE
4500000000,12,0,12-1-0,15740894.9644367099,2,,AVAILABLE
4600000000,12,0,12-1-0,15737186.6860077213,2,,AVAILABLE
4700000000,12,0,12-1-0,15733476.0200455915,2,,AVAILABLE
4800000000,12,0,12-1-0,15729769.3458724674,2,,AVAILABLE
4900000000,12,0,12-1-0,15726063.4710797127,2,,AVAILABLE
5000000000,12,0,12-1-0,15722359.2313191108,2,,AVAILABLE
5100000000,12,0,12-1-0,15718652.6048697103,2,,AVAILABLE
5200000000,12,0,12-1-0,15714949.9675457813,2,,AVAILABLE
5300000000,12,0,12-1-0,15711246.4184893146,2,,AVAILABLE
5400000000,12,0,12-1-0,15707543.0303449053,2,,AVAILABLE
5500000000,12,0,12-1-0,15703846.1786756348,2,,AVAILABLE
5600000000,12,0,12-1-0,15700147.5798133984,2,,AVAILABLE
5700000000,12,0,12-1-0,15696449.7896919642,2,,AVAILABLE
5800000000,12,0,12-1-0,15692753.6270950455,2,,AVAILABLE
5900000000,12,0,12-1-0,15689055.0795021877,2,,AVAILABLE
6000000000,12,0,12-1-0,15685360.5192041453,2,,AVAILABLE
6100000000,12,0,12-1-0,15681664.4082441702,2,,AVAILABLE
6200000000,12,0,12-1-0,15677971.4519646820,2,,AVAILABLE
6300000000,12,0,12-1-0,15674282.6824727561,2,,AVAILABLE
6400000000,12,0,12-1-0,15670589.8093486018,2,,AVAILABLE
6500000000,12,0,12-1-0,15666900.0884644203,2,,AVAILABLE
6600000000,12,0,12-1-0,15663212.0123396497,2,,AVAILABLE
6700000000,12,0,12-1-0,15659524.0868708510,2,,AVAILABLE
6800000000,12,0,12-1-0,15655838.4369683452,2,,AVAILABLE
6900000000,12,0,12-1-0,15652149.5702765584,2,,AVAILABLE
7000000000,12,0,12-1-0,15648468.0779986363,2,,AVAILABLE
7100000000,12,0,12-1-0,15644781.6477843989,2,,AVAILABLE
7200000000,12,0,12-1-0,15641105.7729798965,2,,AVAILABLE
7300000000,12,0,12-1-0,15637421.7789861672,2,,AVAILABLE
7400000000,12,0,12-1-0,15633738.5863484461,2,,AVAILABLE
7500000000,12,0,12-1-0,15630061.9313984737,2,,AVAILABLE
7600000000,12,0,12-1-0,15626380.7581966817,2,,AVAILABLE
